time_s;viscosity_cP;temperature_C;viscosity_theoretical_cP;viscosity_exp_dimless;viscosity_theo_dimless
0;698.1;20.8;1185.0607947008914;1.0;1.0
10;697.8;20.9;1173.035535280048;0.9995702621400945;0.9898526223510089
20;697.8;20.9;1173.035535280048;0.9995702621400945;0.9898526223510089
30;694.9;20.9;1173.035535280048;0.9954161294943418;0.9898526223510089
40;685.9;20.9;1173.035535280048;0.982523993697178;0.9898526223510089
50;685.9;20.9;1173.035535280048;0.982523993697178;0.9898526223510089
60;671.5;20.8;1185.0607947008914;0.9618965764217161;1.0
70;654.6;20.8;1185.0607947008914;0.9376880103137086;1.0
80;654.6;20.8;1185.0607947008914;0.9376880103137086;1.0
90;635.7;20.8;1185.0607947008914;0.9106145251396648;1.0
100;617.7;20.8;1185.0607947008914;0.8848302535453374;1.0
110;617.7;20.8;1185.0607947008914;0.8848302535453374;1.0
120;598.5;20.8;1185.0607947008914;0.857327030511388;1.0
130;581.4;20.8;1185.0607947008914;0.8328319724967769;1.0
140;591.4;20.9;1173.035535280048;0.8471565678269588;0.9898526223510089
150;564.5;21.0;1161.1589731579988;0.8086234063887695;0.9798307212171968
160;548.7;21.0;1161.1589731579988;0.7859905457670822;0.9798307212171968
170;548.7;21.1;1149.4290290909034;0.7859905457670822;0.9699325420524257
180;534.1;21.1;1149.4290290909034;0.7650766365850165;0.9699325420524257
190;518.6;21.2;1137.8436433176269;0.7428735138232345;0.9601563467508162
200;518.6;21.2;1137.8436433176269;0.7428735138232345;0.9601563467508162
210;504.7;21.2;1137.8436433176269;0.7229623263142816;0.9601563467508162
220;490.6;21.2;1137.8436433176269;0.7027646468987251;0.9601563467508162
230;490.6;21.2;1137.8436433176269;0.7027646468987251;0.9601563467508162
240;477.4;21.3;1126.4007754484153;0.6838561810628849;0.9505004135528069
250;464.1;21.3;1126.4007754484153;0.664804469273743;0.9505004135528069
260;464.1;21.3;1126.4007754484153;0.664804469273743;0.9505004135528069
270;451.3;21.4;1115.0984043539772;0.6464689872511101;0.9409630369515577
280;438.4;21.4;1115.0984043539772;0.6279902592751754;0.9409630369515577
290;438.4;21.5;1103.9345280547175;0.6279902592751754;0.9315425275994805
300;425.8;21.6;1092.9071636103477;0.6099412691591463;0.9222372122150887
310;415.7;21.6;1092.9071636103477;0.5954734278756625;0.9222372122150887
320;415.7;21.7;1082.0143470097478;0.5954734278756625;0.9130454334900578
330;404.0;21.7;1082.0143470097478;0.5787136513393496;0.9130454334900578
340;393.9;21.8;1071.2541330610954;0.5642458100558658;0.9039655499965125
350;393.9;21.8;1071.2541330610954;0.5642458100558658;0.9039655499965125
360;384.3;21.9;1060.624595282376;0.5504941985388913;0.8949959360946348
370;375.5;22.0;1050.1238257919981;0.5378885546483312;0.886134981840361
380;375.5;22.1;1039.7499351999215;0.5378885546483312;0.8773810928935116
390;367.5;22.1;1039.7499351999215;0.5264288783841856;0.8773810928935116
400;359.9;22.2;1029.501052498884;0.5155421859332473;0.8687326904260042
410;359.9;22.3;1019.3753249560071;0.5155421859332473;0.8601882110303859
420;352.8;22.4;1009.3709180046859;0.5053717232488182;0.851746106628606
430;346.3;22.4;1009.3709180046859;0.4960607362842;0.851746106628606
440;346.3;22.5;999.4860151367187;0.4960607362842;0.843404844380991
450;339.8;22.6;989.718817794774;0.4867497493195817;0.8351629065955037
490;322.4;23.0;951.7917348219951;0.46182495344506513;0.803158571339141
510;316.9;23.2;933.4889654170094;0.4539464260134651;0.7877139886756792
520;312.6;23.2;933.4889654170094;0.44778685002148694;0.7877139886756792
540;307.4;23.5;906.822776545963;0.44033806044979223;0.765212030134576
550;303.4;23.5;906.822776545963;0.43460822231771945;0.765212030134576
570;300.3;23.7;889.551472481261;0.4301675977653631;0.750637837703325
580;297.4;23.8;881.0628425354776;0.4260134651196103;0.7434748043941976
590;297.7;23.9;872.6701219836893;0.4264432029795158;0.7363927031304337
600;295.2;24.0;864.3717524479944;0.4228620541469703;0.7293902188926613
610;293.1;24.1;856.1661919224495;0.41985388912763216;0.7224660504767988
620;291.7;24.2;848.0519146700774;0.4178484457814066;0.7156189104071451
630;291.5;24.3;840.0274111201769;0.41756195387480305;0.7088475248497267
640;290.0;24.4;832.0911877659732;0.4154132645752757;0.7021506335259302
660;288.9;24.5;824.2417670624675;0.4138375590889557;0.6955269896263049
670;287.6;24.6;816.4776873246153;0.4119753616960321;0.6889753597246407
690;286.6;24.8;801.1997826966826;0.4105429021630139;0.676083274612848
700;285.7;24.9;793.6831128239505;0.40925368858329747;0.6697404186966421
710;285.7;24.9;793.6831128239505;0.40925368858329747;0.6697404186966421
730;284.6;25.1;778.8873415722924;0.4076779830969775;0.6572551763210452
740;284.6;25.1;778.8873415722924;0.4076779830969775;0.6572551763210452
750;284.3;25.2;771.6054876433722;0.40724824523707204;0.6511104671538179
760;284.1;25.3;764.3991784709951;0.4069617533304684;0.6450295055655174
770;284.1;25.4;757.2670756186354;0.4069617533304684;0.6390111621317868
780;284.0;25.4;757.2670756186354;0.40681850737716657;0.6390111621317868
790;284.1;25.5;750.2078556062157;0.4069617533304684;0.6330543200490973
800;284.1;25.5;750.2078556062157;0.4069617533304684;0.6330543200490973
810;284.1;25.6;743.2202098111603;0.4069617533304684;0.6271578750512531
820;284.1;25.7;736.3028443697224;0.4069617533304684;0.6213207353261271
830;284.1;25.7;736.3028443697224;0.4069617533304684;0.6213207353261271
840;284.2;25.8;729.4544800785804;0.4071049992837702;0.6155418214326247
850;284.1;25.8;729.4544800785804;0.4069617533304684;0.6155418214326247
