Celda,A_P,A_E,A_W,A_N,A_S,b_P
"(1,1)",510.5,501.0,0.0,0.0,0.5,11.0
"(1,2)",11.5,501.0,-499.0,0.0,0.5,11.0
"(1,3)",11.5,501.0,-499.0,0.0,0.5,11.0
"(1,4)",11.5,501.0,-499.0,0.0,0.5,11.0
"(1,5)",-489.5,0.0,-499.0,0.0,0.5,11.0
"(2,1)",512.0,501.0,0.0,1.5,0.5,11.0
"(2,2)",13.0,501.0,-499.0,1.5,0.5,11.0
"(2,3)",13.0,501.0,-499.0,1.5,0.5,11.0
"(2,4)",13.0,501.0,-499.0,1.5,0.5,11.0
"(2,5)",-488.0,0.0,-499.0,1.5,0.5,11.0
"(3,1)",512.0,501.0,0.0,1.5,0.5,11.0
"(3,2)",13.0,501.0,-499.0,1.5,0.5,11.0
"(3,3)",13.0,501.0,-499.0,1.5,0.5,11.0
"(3,4)",13.0,501.0,-499.0,1.5,0.5,11.0
"(3,5)",-488.0,0.0,-499.0,1.5,0.5,11.0
"(4,1)",512.0,501.0,0.0,1.5,0.5,11.0
"(4,2)",13.0,501.0,-499.0,1.5,0.5,11.0
"(4,3)",13.0,501.0,-499.0,1.5,0.5,11.0
"(4,4)",13.0,501.0,-499.0,1.5,0.5,11.0
"(4,5)",-488.0,0.0,-499.0,1.5,0.5,11.0
"(5,1)",511.5,501.0,0.0,1.5,0.0,11.0
"(5,2)",12.5,501.0,-499.0,1.5,0.0,11.0
"(5,3)",12.5,501.0,-499.0,1.5,0.0,11.0
"(5,4)",12.5,501.0,-499.0,1.5,0.0,11.0
"(5,5)",-488.5,0.0,-499.0,1.5,0.0,11.0
